dataset,budget_per_class,noise_rate,noise_type,method,seed,label,label_name,clean_support,precision,recall,f1
dbpedia_14,8,0.0,symmetric,multinomial_nb,101,12,class_12,200,0.84,0.945,0.8894117647058823
dbpedia_14,8,0.0,symmetric,multinomial_nb,101,13,class_13,200,0.7538461538461538,0.735,0.7443037974683544
dbpedia_14,8,0.0,symmetric,multinomial_nb,202,0,class_0,200,0.8205128205128205,0.48,0.6056782334384857
dbpedia_14,8,0.0,symmetric,multinomial_nb,202,1,class_1,200,0.7387387387387387,0.82,0.7772511848341231
dbpedia_14,8,0.0,symmetric,multinomial_nb,202,2,class_2,200,0.7363636363636363,0.405,0.5225806451612903
dbpedia_14,8,0.0,symmetric,multinomial_nb,202,3,class_3,200,0.7509881422924901,0.95,0.8388520971302429
dbpedia_14,8,0.0,symmetric,multinomial_nb,202,4,class_4,200,0.7902439024390244,0.81,0.8000000000000002
dbpedia_14,8,0.0,symmetric,multinomial_nb,202,5,class_5,200,0.7402597402597403,0.855,0.7935034802784223
dbpedia_14,8,0.0,symmetric,multinomial_nb,202,6,class_6,200,0.7091836734693877,0.695,0.702020202020202
dbpedia_14,8,0.0,symmetric,multinomial_nb,202,7,class_7,200,0.9101123595505618,0.81,0.8571428571428572
dbpedia_14,8,0.0,symmetric,multinomial_nb,202,8,class_8,200,0.9362745098039216,0.955,0.9455445544554456
dbpedia_14,8,0.0,symmetric,multinomial_nb,202,9,class_9,200,0.7597765363128491,0.68,0.7176781002638521
dbpedia_14,8,0.0,symmetric,multinomial_nb,202,10,class_10,200,0.7741935483870968,0.72,0.7461139896373057
dbpedia_14,8,0.0,symmetric,multinomial_nb,202,11,class_11,200,0.6384364820846905,0.98,0.7731755424063116
dbpedia_14,8,0.0,symmetric,multinomial_nb,202,12,class_12,200,0.9106145251396648,0.815,0.8601583113456464
dbpedia_14,8,0.0,symmetric,multinomial_nb,202,13,class_13,200,0.6566523605150214,0.765,0.7066974595842956
dbpedia_14,8,0.0,symmetric,multinomial_nb,303,0,class_0,200,0.7628205128205128,0.595,0.6685393258426966
dbpedia_14,8,0.0,symmetric,multinomial_nb,303,1,class_1,200,0.8656716417910447,0.87,0.8678304239401496
dbpedia_14,8,0.0,symmetric,multinomial_nb,303,2,class_2,200,0.7714285714285715,0.54,0.6352941176470589
dbpedia_14,8,0.0,symmetric,multinomial_nb,303,3,class_3,200,0.7853881278538812,0.86,0.8210023866348448
dbpedia_14,8,0.0,symmetric,multinomial_nb,303,4,class_4,200,0.826530612244898,0.81,0.8181818181818183
dbpedia_14,8,0.0,symmetric,multinomial_nb,303,5,class_5,200,0.7121212121212122,0.705,0.7085427135678393
dbpedia_14,8,0.0,symmetric,multinomial_nb,303,6,class_6,200,0.7823834196891192,0.755,0.7684478371501272
dbpedia_14,8,0.0,symmetric,multinomial_nb,303,7,class_7,200,0.6879432624113475,0.97,0.8049792531120332
dbpedia_14,8,0.0,symmetric,multinomial_nb,303,8,class_8,200,0.9056603773584906,0.96,0.9320388349514563
dbpedia_14,8,0.0,symmetric,multinomial_nb,303,9,class_9,200,0.748792270531401,0.775,0.7616707616707616
dbpedia_14,8,0.0,symmetric,multinomial_nb,303,10,class_10,200,0.7755102040816326,0.76,0.7676767676767676
dbpedia_14,8,0.0,symmetric,multinomial_nb,303,11,class_11,200,0.7609561752988048,0.955,0.8470066518847007
dbpedia_14,8,0.0,symmetric,multinomial_nb,303,12,class_12,200,0.8421052631578947,0.88,0.8606356968215159
dbpedia_14,8,0.0,symmetric,multinomial_nb,303,13,class_13,200,0.8428571428571429,0.59,0.6941176470588235
