dataset,budget_per_class,noise_rate,noise_type,method,seed,n_train,n_test,num_classes,actual_noise_fraction,accuracy,macro_f1,runtime_seconds,train_runtime_seconds,eval_runtime_seconds,epochs,requested_train_batch_size,effective_train_batch_size,requested_eval_batch_size,effective_eval_batch_size,train_batches,eval_batches,peak_memory_allocated_mib,effective_device,mean_train_loss,train_counts,source_kind,method_family,fit_notes
ag_news,8,0.3,symmetric,distilbert_base_uncased,202,32,800,4,0.34375,0.275,0.17081477600209585,0.513139009475708,0.11084723472595215,0.2967958450317383,3,32,32,64,64,3,13,2089.17,cuda:0,1.3864991267522175,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,8,0.3,symmetric,distilbert_base_uncased,303,32,800,4,0.3125,0.265,0.1304475373358414,0.4958775043487549,0.09296321868896484,0.2961428165435791,3,32,32,64,64,3,13,1800.8,cuda:0,1.3549530903498332,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,8,0.3,symmetric,distilbert_base_uncased,404,32,800,4,0.375,0.255,0.11020552799433025,0.46919989585876465,0.0731344223022461,0.2922351360321045,3,32,32,64,64,3,13,1469.77,cuda:0,1.3519737720489502,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,8,0.3,symmetric,distilbert_base_uncased,505,32,800,4,0.25,0.3325,0.21546481291385383,0.484466552734375,0.08580684661865234,0.2891073226928711,3,32,32,64,64,3,13,1753.19,cuda:0,1.3707255919774373,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,16,0.0,symmetric,distilbert_base_uncased,101,64,800,4,0.0,0.7025,0.7004894963276425,0.5992331504821777,0.1825244426727295,0.31340575218200684,3,32,32,64,64,6,13,1929.69,cuda:0,1.3409886558850606,"{""0"": 16, ""1"": 16, ""2"": 16, ""3"": 16}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,16,0.0,symmetric,distilbert_base_uncased,202,64,800,4,0.0,0.31625,0.22886173785117592,0.5974793434143066,0.1948554515838623,0.2982950210571289,3,32,32,64,64,6,13,2090.0,cuda:0,1.3707482020060222,"{""0"": 16, ""1"": 16, ""2"": 16, ""3"": 16}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,16,0.0,symmetric,distilbert_base_uncased,303,64,800,4,0.0,0.7375,0.7297412513067557,0.5699241161346436,0.17111825942993164,0.29575133323669434,3,32,32,64,64,6,13,1804.11,cuda:0,1.3502748608589172,"{""0"": 16, ""1"": 16, ""2"": 16, ""3"": 16}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,16,0.0,symmetric,distilbert_base_uncased,404,64,800,4,0.0,0.76875,0.7717272607502838,0.5768849849700928,0.17328453063964844,0.29563403129577637,3,32,32,64,64,6,13,1967.91,cuda:0,1.3320655425389607,"{""0"": 16, ""1"": 16, ""2"": 16, ""3"": 16}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,16,0.0,symmetric,distilbert_base_uncased,505,64,800,4,0.0,0.665,0.6479681802359091,0.5812630653381348,0.18910908699035645,0.29061102867126465,3,32,32,64,64,6,13,1962.33,cuda:0,1.3601939876874287,"{""0"": 16, ""1"": 16, ""2"": 16, ""3"": 16}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,16,0.05,symmetric,distilbert_base_uncased,101,64,800,4,0.0625,0.72875,0.7301503234952555,0.5963408946990967,0.17653608322143555,0.31424450874328613,3,32,32,64,64,6,13,1942.81,cuda:0,1.3446637590726216,"{""0"": 16, ""1"": 16, ""2"": 16, ""3"": 16}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,16,0.05,symmetric,distilbert_base_uncased,202,64,800,4,0.0625,0.265,0.1362025103115746,0.588756799697876,0.19463181495666504,0.2939870357513428,3,32,32,64,64,6,13,2104.0,cuda:0,1.3595343828201294,"{""0"": 16, ""1"": 16, ""2"": 16, ""3"": 16}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,16,0.05,symmetric,distilbert_base_uncased,303,64,800,4,0.09375,0.6425,0.6149404480632491,0.574507474899292,0.17027044296264648,0.29954051971435547,3,32,32,64,64,6,13,1807.75,cuda:0,1.3521849115689595,"{""0"": 16, ""1"": 16, ""2"": 16, ""3"": 16}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,16,0.05,symmetric,distilbert_base_uncased,404,64,800,4,0.03125,0.7325,0.7284553054476628,0.5741822719573975,0.1773519515991211,0.29328322410583496,3,32,32,64,64,6,13,1974.11,cuda:0,1.3309347033500671,"{""0"": 16, ""1"": 16, ""2"": 16, ""3"": 16}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
