dataset,budget_per_class,noise_rate,noise_type,method,seed,status,old_accuracy,new_accuracy,delta_accuracy,old_macro_f1,new_macro_f1,delta_macro_f1
dbpedia_14,16,0.0,symmetric,linear_svm_hinge,505,compared,0.6978571428571428,0.6978571428571428,0.0,0.6601050529240073,0.6601050529240073,0.0
dbpedia_14,32,0.0,class_conditional,linear_svm_hinge,101,new_clean_key_not_in_old,,0.8192857142857143,,,0.816226952250532,
dbpedia_14,32,0.0,class_conditional,linear_svm_hinge,202,new_clean_key_not_in_old,,0.8175,,,0.8091902909762244,
dbpedia_14,32,0.0,class_conditional,linear_svm_hinge,303,new_clean_key_not_in_old,,0.7589285714285714,,,0.7364963132137013,
dbpedia_14,32,0.0,class_conditional,linear_svm_hinge,404,new_clean_key_not_in_old,,0.7207142857142858,,,0.7019774063072315,
dbpedia_14,32,0.0,class_conditional,linear_svm_hinge,505,new_clean_key_not_in_old,,0.7642857142857142,,,0.751556394649678,
dbpedia_14,32,0.0,symmetric,linear_svm_hinge,101,new_clean_key_not_in_old,,0.8192857142857143,,,0.816226952250532,
dbpedia_14,32,0.0,symmetric,linear_svm_hinge,202,new_clean_key_not_in_old,,0.8175,,,0.8091902909762244,
dbpedia_14,32,0.0,symmetric,linear_svm_hinge,303,new_clean_key_not_in_old,,0.7589285714285714,,,0.7364963132137013,
dbpedia_14,32,0.0,symmetric,linear_svm_hinge,404,new_clean_key_not_in_old,,0.7207142857142858,,,0.7019774063072315,
dbpedia_14,32,0.0,symmetric,linear_svm_hinge,505,new_clean_key_not_in_old,,0.7642857142857142,,,0.751556394649678,
dbpedia_14,64,0.0,class_conditional,linear_svm_hinge,101,compared,0.8303571428571429,0.8303571428571429,0.0,0.8226199035197241,0.8226199035197241,0.0
dbpedia_14,64,0.0,class_conditional,linear_svm_hinge,202,compared,0.8339285714285715,0.8339285714285715,0.0,0.8300416526984264,0.8300416526984264,0.0
dbpedia_14,64,0.0,class_conditional,linear_svm_hinge,303,compared,0.8235714285714286,0.8235714285714286,0.0,0.8119629294989515,0.8119629294989515,0.0
dbpedia_14,64,0.0,class_conditional,linear_svm_hinge,404,compared,0.7839285714285714,0.7839285714285714,0.0,0.7659629282602651,0.7659629282602651,0.0
dbpedia_14,64,0.0,class_conditional,linear_svm_hinge,505,compared,0.8278571428571428,0.8278571428571428,0.0,0.8121220124389625,0.8121220124389625,0.0
dbpedia_14,64,0.0,symmetric,linear_svm_hinge,101,compared,0.8303571428571429,0.8303571428571429,0.0,0.8226199035197241,0.8226199035197241,0.0
dbpedia_14,64,0.0,symmetric,linear_svm_hinge,202,compared,0.8339285714285715,0.8339285714285715,0.0,0.8300416526984264,0.8300416526984264,0.0
dbpedia_14,64,0.0,symmetric,linear_svm_hinge,303,compared,0.8235714285714286,0.8235714285714286,0.0,0.8119629294989515,0.8119629294989515,0.0
dbpedia_14,64,0.0,symmetric,linear_svm_hinge,404,compared,0.7839285714285714,0.7839285714285714,0.0,0.7659629282602651,0.7659629282602651,0.0
dbpedia_14,64,0.0,symmetric,linear_svm_hinge,505,compared,0.8278571428571428,0.8278571428571428,0.0,0.8121220124389625,0.8121220124389625,0.0
dbpedia_14,128,0.0,class_conditional,linear_svm_hinge,101,compared,0.8875,0.8875,0.0,0.8848771060794025,0.8848771060794025,0.0
dbpedia_14,128,0.0,class_conditional,linear_svm_hinge,202,compared,0.8785714285714286,0.8785714285714286,0.0,0.8733002721375916,0.8733002721375916,0.0
dbpedia_14,128,0.0,class_conditional,linear_svm_hinge,303,compared,0.8782142857142857,0.8782142857142857,0.0,0.8749863839483328,0.8749863839483328,0.0
dbpedia_14,128,0.0,class_conditional,linear_svm_hinge,404,compared,0.87,0.87,0.0,0.8666935301163324,0.8666935301163324,0.0
dbpedia_14,128,0.0,class_conditional,linear_svm_hinge,505,compared,0.8575,0.8575,0.0,0.8531142183125127,0.8531142183125127,0.0
dbpedia_14,128,0.0,symmetric,linear_svm_hinge,101,compared,0.8875,0.8875,0.0,0.8848771060794025,0.8848771060794025,0.0
