dataset,budget_per_class,noise_rate,noise_type,method,mean_macro_f1,std_macro_f1,n_seeds
ag_news,64,0.3,class_conditional,multinomial_nb,0.613263,0.016265,5
ag_news,64,0.3,class_conditional,softmax_logreg,0.533639,0.007152,5
ag_news,64,0.3,class_conditional,trimmed_softmax_logreg,0.362234,0.057378,5
ag_news,64,0.3,symmetric,linear_svm_hinge,0.534253,0.062739,5
ag_news,64,0.3,symmetric,multinomial_nb,0.641836,0.009563,5
ag_news,64,0.3,symmetric,softmax_logreg,0.525682,0.030337,5
ag_news,64,0.3,symmetric,trimmed_softmax_logreg,0.384244,0.018672,5
ag_news,128,0.0,class_conditional,linear_svm_hinge,0.741737,0.019205,5
ag_news,128,0.0,class_conditional,multinomial_nb,0.797631,0.011691,5
ag_news,128,0.0,class_conditional,softmax_logreg,0.775160,0.012419,5
ag_news,128,0.0,class_conditional,trimmed_softmax_logreg,0.685754,0.024981,5
ag_news,128,0.0,symmetric,linear_svm_hinge,0.741737,0.019205,5
ag_news,128,0.0,symmetric,multinomial_nb,0.797631,0.011691,5
ag_news,128,0.0,symmetric,softmax_logreg,0.775160,0.012419,5
ag_news,128,0.0,symmetric,trimmed_softmax_logreg,0.685754,0.024981,5
ag_news,128,0.05,class_conditional,linear_svm_hinge,0.715625,0.036313,5
ag_news,128,0.05,class_conditional,multinomial_nb,0.795388,0.015641,5
ag_news,128,0.05,class_conditional,softmax_logreg,0.768884,0.015033,5
ag_news,128,0.05,class_conditional,trimmed_softmax_logreg,0.640947,0.038225,5
ag_news,128,0.05,symmetric,linear_svm_hinge,0.726048,0.048592,5
ag_news,128,0.05,symmetric,multinomial_nb,0.789503,0.016882,5
ag_news,128,0.05,symmetric,softmax_logreg,0.762150,0.014683,5
ag_news,128,0.05,symmetric,trimmed_softmax_logreg,0.636769,0.051010,5
ag_news,128,0.1,class_conditional,linear_svm_hinge,0.658796,0.025696,5
ag_news,128,0.1,class_conditional,multinomial_nb,0.776515,0.012420,5
ag_news,128,0.1,class_conditional,softmax_logreg,0.759947,0.015929,5
ag_news,128,0.1,class_conditional,trimmed_softmax_logreg,0.637303,0.020504,5
ag_news,128,0.1,symmetric,linear_svm_hinge,0.681531,0.057162,5
ag_news,128,0.1,symmetric,multinomial_nb,0.779216,0.012321,5
ag_news,128,0.1,symmetric,softmax_logreg,0.752530,0.015384,5
ag_news,128,0.1,symmetric,trimmed_softmax_logreg,0.601120,0.056012,5
ag_news,128,0.2,class_conditional,linear_svm_hinge,0.632278,0.079455,5
ag_news,128,0.2,class_conditional,multinomial_nb,0.724596,0.018086,5
ag_news,128,0.2,class_conditional,softmax_logreg,0.697355,0.020294,5
ag_news,128,0.2,class_conditional,trimmed_softmax_logreg,0.512889,0.042364,5
ag_news,128,0.2,symmetric,linear_svm_hinge,0.643879,0.048974,5
ag_news,128,0.2,symmetric,multinomial_nb,0.746636,0.014693,5
ag_news,128,0.2,symmetric,softmax_logreg,0.708835,0.025554,5
ag_news,128,0.2,symmetric,trimmed_softmax_logreg,0.506217,0.077727,5
ag_news,128,0.3,class_conditional,linear_svm_hinge,0.600348,0.045412,5
ag_news,128,0.3,class_conditional,multinomial_nb,0.654702,0.014502,5
ag_news,128,0.3,class_conditional,softmax_logreg,0.651930,0.028663,5
ag_news,128,0.3,class_conditional,trimmed_softmax_logreg,0.488060,0.062471,5
ag_news,128,0.3,symmetric,linear_svm_hinge,0.515090,0.044478,5
ag_news,128,0.3,symmetric,multinomial_nb,0.695119,0.003180,5
ag_news,128,0.3,symmetric,softmax_logreg,0.670469,0.026804,5
ag_news,128,0.3,symmetric,trimmed_softmax_logreg,0.457351,0.044775,5
dbpedia_14,8,0.0,class_conditional,linear_svm_hinge,0.617503,0.051071,5
dbpedia_14,8,0.0,class_conditional,multinomial_nb,0.761650,0.013035,5
dbpedia_14,8,0.0,class_conditional,softmax_logreg,0.777192,0.010009,5
dbpedia_14,8,0.0,class_conditional,trimmed_softmax_logreg,0.615722,0.030208,5
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,0.617503,0.051071,5
dbpedia_14,8,0.0,symmetric,multinomial_nb,0.761650,0.013035,5
dbpedia_14,8,0.0,symmetric,softmax_logreg,0.777192,0.010009,5
dbpedia_14,8,0.0,symmetric,trimmed_softmax_logreg,0.615722,0.030208,5
dbpedia_14,8,0.05,class_conditional,linear_svm_hinge,0.573854,0.050540,5
dbpedia_14,8,0.05,class_conditional,multinomial_nb,0.712122,0.012465,5
dbpedia_14,8,0.05,class_conditional,softmax_logreg,0.705954,0.026801,5
dbpedia_14,8,0.05,class_conditional,trimmed_softmax_logreg,0.536465,0.021864,5
dbpedia_14,8,0.05,symmetric,linear_svm_hinge,0.604582,0.024113,5
dbpedia_14,8,0.05,symmetric,multinomial_nb,0.711291,0.025044,5
dbpedia_14,8,0.05,symmetric,softmax_logreg,0.684463,0.028596,5
dbpedia_14,8,0.05,symmetric,trimmed_softmax_logreg,0.522922,0.025301,5
dbpedia_14,8,0.1,class_conditional,linear_svm_hinge,0.569159,0.031406,5
dbpedia_14,8,0.1,class_conditional,multinomial_nb,0.662838,0.029971,5
dbpedia_14,8,0.1,class_conditional,softmax_logreg,0.631597,0.035640,5
dbpedia_14,8,0.1,class_conditional,trimmed_softmax_logreg,0.499333,0.039543,5
dbpedia_14,8,0.1,symmetric,linear_svm_hinge,0.597326,0.025361,5
dbpedia_14,8,0.1,symmetric,multinomial_nb,0.706652,0.035670,5
dbpedia_14,8,0.1,symmetric,softmax_logreg,0.682911,0.043638,5
dbpedia_14,8,0.1,symmetric,trimmed_softmax_logreg,0.525915,0.040238,5
dbpedia_14,8,0.2,class_conditional,linear_svm_hinge,0.539888,0.035125,5
dbpedia_14,8,0.2,class_conditional,multinomial_nb,0.618681,0.062946,5
dbpedia_14,8,0.2,class_conditional,softmax_logreg,0.600573,0.086827,5
dbpedia_14,8,0.2,class_conditional,trimmed_softmax_logreg,0.478070,0.035038,5
dbpedia_14,8,0.2,symmetric,linear_svm_hinge,0.561593,0.045675,5
dbpedia_14,8,0.2,symmetric,multinomial_nb,0.622939,0.037234,5
dbpedia_14,8,0.2,symmetric,softmax_logreg,0.573401,0.055883,5
dbpedia_14,8,0.2,symmetric,trimmed_softmax_logreg,0.449179,0.030872,5
dbpedia_14,8,0.3,class_conditional,linear_svm_hinge,0.451674,0.045131,5
dbpedia_14,8,0.3,class_conditional,multinomial_nb,0.483480,0.011163,5
dbpedia_14,8,0.3,class_conditional,softmax_logreg,0.436843,0.031293,5
dbpedia_14,8,0.3,class_conditional,trimmed_softmax_logreg,0.402687,0.024379,5
dbpedia_14,8,0.3,symmetric,linear_svm_hinge,0.436050,0.040436,5
dbpedia_14,8,0.3,symmetric,multinomial_nb,0.493398,0.045052,5
dbpedia_14,8,0.3,symmetric,softmax_logreg,0.441852,0.058895,5
dbpedia_14,8,0.3,symmetric,trimmed_softmax_logreg,0.414867,0.045939,5
dbpedia_14,16,0.0,class_conditional,linear_svm_hinge,0.714865,0.031657,5
dbpedia_14,16,0.0,class_conditional,multinomial_nb,0.830403,0.014042,5
dbpedia_14,16,0.0,class_conditional,softmax_logreg,0.838229,0.008823,5
dbpedia_14,16,0.0,class_conditional,trimmed_softmax_logreg,0.604794,0.010610,5
dbpedia_14,16,0.0,symmetric,linear_svm_hinge,0.714865,0.031657,5
dbpedia_14,16,0.0,symmetric,multinomial_nb,0.830403,0.014042,5
dbpedia_14,16,0.0,symmetric,softmax_logreg,0.838229,0.008823,5
dbpedia_14,16,0.0,symmetric,trimmed_softmax_logreg,0.604794,0.010610,5
dbpedia_14,16,0.05,class_conditional,linear_svm_hinge,0.664737,0.026239,5
dbpedia_14,16,0.05,class_conditional,multinomial_nb,0.805928,0.016820,5
dbpedia_14,16,0.05,class_conditional,softmax_logreg,0.786191,0.023425,5
dbpedia_14,16,0.05,class_conditional,trimmed_softmax_logreg,0.588297,0.070267,5
dbpedia_14,16,0.05,symmetric,linear_svm_hinge,0.706892,0.067355,5
dbpedia_14,16,0.05,symmetric,multinomial_nb,0.809799,0.015882,5
dbpedia_14,16,0.05,symmetric,softmax_logreg,0.772541,0.042848,5
dbpedia_14,16,0.05,symmetric,trimmed_softmax_logreg,0.605974,0.046981,5
dbpedia_14,16,0.1,class_conditional,linear_svm_hinge,0.682957,0.039681,5
dbpedia_14,16,0.1,class_conditional,multinomial_nb,0.774845,0.030181,5
dbpedia_14,16,0.1,class_conditional,softmax_logreg,0.746697,0.054460,5
dbpedia_14,16,0.1,class_conditional,trimmed_softmax_logreg,0.593613,0.038709,5
dbpedia_14,16,0.1,symmetric,linear_svm_hinge,0.648850,0.027516,5
dbpedia_14,16,0.1,symmetric,multinomial_nb,0.795144,0.011041,5
dbpedia_14,16,0.1,symmetric,softmax_logreg,0.755054,0.024018,5
dbpedia_14,16,0.1,symmetric,trimmed_softmax_logreg,0.556512,0.030850,5
dbpedia_14,16,0.2,class_conditional,linear_svm_hinge,0.628837,0.031827,5
dbpedia_14,16,0.2,class_conditional,multinomial_nb,0.691144,0.024349,5
dbpedia_14,16,0.2,class_conditional,softmax_logreg,0.638293,0.014668,5
dbpedia_14,16,0.2,class_conditional,trimmed_softmax_logreg,0.477220,0.048074,5
dbpedia_14,16,0.2,symmetric,linear_svm_hinge,0.633062,0.058506,5
dbpedia_14,16,0.2,symmetric,multinomial_nb,0.739485,0.018388,5
dbpedia_14,16,0.2,symmetric,softmax_logreg,0.661629,0.064276,5
dbpedia_14,16,0.2,symmetric,trimmed_softmax_logreg,0.504616,0.028215,5
dbpedia_14,16,0.3,class_conditional,linear_svm_hinge,0.545456,0.032505,5
dbpedia_14,16,0.3,class_conditional,multinomial_nb,0.602874,0.042674,5
dbpedia_14,16,0.3,class_conditional,softmax_logreg,0.514905,0.059199,5
dbpedia_14,16,0.3,class_conditional,trimmed_softmax_logreg,0.406725,0.016163,5
dbpedia_14,16,0.3,symmetric,linear_svm_hinge,0.552593,0.023562,5
dbpedia_14,16,0.3,symmetric,multinomial_nb,0.660210,0.031542,5
dbpedia_14,16,0.3,symmetric,softmax_logreg,0.522626,0.037652,5
