dataset,budget_per_class,noise_rate,noise_type,method,seed,label,label_name,clean_support,precision,recall,f1
ag_news,8,0.0,class_conditional,trimmed_softmax_logreg,505,1,1,200,0.34234234234234234,0.38,0.3601895734597157
ag_news,8,0.0,class_conditional,trimmed_softmax_logreg,505,2,2,200,0.6811594202898551,0.235,0.3494423791821561
ag_news,8,0.0,class_conditional,trimmed_softmax_logreg,505,3,3,200,0.4444444444444444,0.06,0.10572687224669602
ag_news,8,0.0,symmetric,linear_svm_hinge,101,0,World,200,0.46153846153846156,0.24,0.3157894736842105
ag_news,8,0.0,symmetric,linear_svm_hinge,101,1,Sports,200,0.6956521739130435,0.32,0.4383561643835616
ag_news,8,0.0,symmetric,linear_svm_hinge,101,2,Business,200,0.3914285714285714,0.685,0.49818181818181817
ag_news,8,0.0,symmetric,linear_svm_hinge,101,3,Sci/Tech,200,0.35039370078740156,0.445,0.3920704845814978
ag_news,8,0.0,symmetric,linear_svm_hinge,202,0,World,200,0.5104166666666666,0.49,0.4999999999999999
ag_news,8,0.0,symmetric,linear_svm_hinge,202,1,Sports,200,0.47101449275362317,0.65,0.5462184873949579
ag_news,8,0.0,symmetric,linear_svm_hinge,202,2,Business,200,0.5194805194805194,0.4,0.4519774011299435
ag_news,8,0.0,symmetric,linear_svm_hinge,202,3,Sci/Tech,200,0.5617977528089888,0.5,0.5291005291005291
ag_news,8,0.0,symmetric,linear_svm_hinge,303,0,World,200,0.6764705882352942,0.345,0.4569536423841059
ag_news,8,0.0,symmetric,linear_svm_hinge,303,1,Sports,200,0.5437262357414449,0.715,0.6177105831533477
ag_news,8,0.0,symmetric,linear_svm_hinge,303,2,Business,200,0.49333333333333335,0.37,0.4228571428571429
ag_news,8,0.0,symmetric,linear_svm_hinge,303,3,Sci/Tech,200,0.4070175438596491,0.58,0.47835051546391744
ag_news,8,0.0,symmetric,linear_svm_hinge,404,0,World,200,0.5754716981132075,0.61,0.5922330097087378
ag_news,8,0.0,symmetric,linear_svm_hinge,404,1,Sports,200,0.49480968858131485,0.715,0.5848670756646217
ag_news,8,0.0,symmetric,linear_svm_hinge,404,2,Business,200,0.5378787878787878,0.355,0.42771084337349397
ag_news,8,0.0,symmetric,linear_svm_hinge,404,3,Sci/Tech,200,0.5748502994011976,0.48,0.5231607629427792
ag_news,8,0.0,symmetric,linear_svm_hinge,505,0,World,200,0.4885844748858447,0.535,0.5107398568019094
ag_news,8,0.0,symmetric,linear_svm_hinge,505,1,Sports,200,0.37537537537537535,0.625,0.46904315196998125
ag_news,8,0.0,symmetric,linear_svm_hinge,505,2,Business,200,0.5251396648044693,0.47,0.496042216358839
