dataset,budget_per_class,noise_rate,noise_type,method,n_cells,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1
ag_news,8,0.3,symmetric,trimmed_softmax_logreg,5,0.3155,0.03946992525962015,0.2162581724105997,0.03811465855476709
ag_news,16,0.0,class_conditional,linear_svm_hinge,5,0.5574999999999999,0.031054387773710834,0.5516497161818755,0.02968390103872809
ag_news,16,0.0,class_conditional,multinomial_nb,5,0.609,0.0153174736820404,0.6068737567227482,0.015930774729078175
ag_news,16,0.0,class_conditional,softmax_logreg,5,0.5854999999999999,0.012663925141913964,0.5829146522412297,0.011695380628254327
ag_news,16,0.0,class_conditional,trimmed_softmax_logreg,5,0.541,0.01709166463513724,0.5278309017950142,0.020979874600567678
ag_news,16,0.0,symmetric,linear_svm_hinge,5,0.5574999999999999,0.031054387773710834,0.5516497161818755,0.02968390103872809
ag_news,16,0.0,symmetric,multinomial_nb,5,0.609,0.0153174736820404,0.6068737567227482,0.015930774729078175
ag_news,16,0.0,symmetric,softmax_logreg,5,0.5854999999999999,0.012663925141913964,0.5829146522412297,0.011695380628254327
ag_news,16,0.0,symmetric,trimmed_softmax_logreg,5,0.541,0.01709166463513724,0.5278309017950142,0.020979874600567678
ag_news,16,0.05,class_conditional,linear_svm_hinge,5,0.54225,0.018781639970992976,0.5375185021747056,0.019195113619741272
ag_news,16,0.05,class_conditional,multinomial_nb,5,0.5792499999999999,0.016271140095273005,0.5756584340610311,0.01570591973740436
ag_news,16,0.05,class_conditional,softmax_logreg,5,0.5435000000000001,0.017596164354767775,0.5386999713781243,0.016365200445866184
ag_news,16,0.05,class_conditional,trimmed_softmax_logreg,5,0.43324999999999997,0.030224162519414826,0.3725470529524143,0.038638146073830155
ag_news,16,0.05,symmetric,linear_svm_hinge,5,0.5375,0.0211246301742776,0.5248507000374254,0.02122134951417003
ag_news,16,0.05,symmetric,multinomial_nb,5,0.5915000000000001,0.013995535002278382,0.5867186829269857,0.014748081127522112
ag_news,16,0.05,symmetric,softmax_logreg,5,0.562,0.01111305538544641,0.5556379743467612,0.014587503935125905
ag_news,16,0.05,symmetric,trimmed_softmax_logreg,5,0.46950000000000003,0.0335838502855167,0.4229289508065621,0.057521981307094114
ag_news,16,0.1,class_conditional,linear_svm_hinge,5,0.52175,0.026547127904916586,0.510672513148102,0.0267894440996166
ag_news,16,0.1,class_conditional,multinomial_nb,5,0.5647500000000001,0.021365860619221504,0.5611156273932071,0.020824733878769663
ag_news,16,0.1,class_conditional,softmax_logreg,5,0.535,0.009253377761660892,0.5284404199736799,0.008019735898346134
ag_news,16,0.1,class_conditional,trimmed_softmax_logreg,5,0.42474999999999996,0.019176808910765113,0.37293543066497914,0.021973442318651285
ag_news,16,0.1,symmetric,linear_svm_hinge,5,0.49725,0.04354882317583336,0.476983426674888,0.06247475381471328
ag_news,16,0.1,symmetric,multinomial_nb,5,0.54075,0.028554771930449734,0.5334455578493145,0.04042022747765064
ag_news,16,0.1,symmetric,softmax_logreg,5,0.5029999999999999,0.03541362732056687,0.48566779690542966,0.054180638516445175
ag_news,16,0.1,symmetric,trimmed_softmax_logreg,5,0.40449999999999997,0.027744368798010163,0.33095576994724796,0.026482418103075535
ag_news,16,0.2,class_conditional,linear_svm_hinge,5,0.45725,0.027447677497376723,0.43619763890734387,0.033246719919537794
ag_news,16,0.2,class_conditional,multinomial_nb,5,0.5267499999999999,0.01782904932967542,0.5191687410632844,0.013740407371554554
ag_news,16,0.2,class_conditional,softmax_logreg,5,0.47824999999999995,0.03380643429881358,0.46072423869631757,0.036731034844099016
ag_news,16,0.2,class_conditional,trimmed_softmax_logreg,5,0.39475,0.028705400188814654,0.3201412465274102,0.0319256664972303
ag_news,16,0.2,symmetric,linear_svm_hinge,5,0.45099999999999996,0.03624051600074149,0.4217706249400818,0.04615786384996494
ag_news,16,0.2,symmetric,multinomial_nb,5,0.5002500000000001,0.02592537367136683,0.48931831592394676,0.032535587891290275
ag_news,16,0.2,symmetric,softmax_logreg,5,0.45299999999999996,0.04631819296993353,0.42079091924464596,0.06240022646540398
ag_news,16,0.2,symmetric,trimmed_softmax_logreg,5,0.397,0.046452933168961465,0.3156920472045578,0.05106524336335297
ag_news,16,0.3,class_conditional,linear_svm_hinge,5,0.425,0.047057146109809926,0.4046662797390944,0.05231653282511529
ag_news,16,0.3,class_conditional,multinomial_nb,5,0.46624999999999994,0.04463742824133129,0.45660574277400096,0.04722069740280465
ag_news,16,0.3,class_conditional,softmax_logreg,5,0.42575,0.04303051243013496,0.4032395514563225,0.049918246971955724
ag_news,16,0.3,class_conditional,trimmed_softmax_logreg,5,0.36500000000000005,0.019541622245862807,0.28569413971205804,0.026027858673156757
ag_news,16,0.3,symmetric,linear_svm_hinge,5,0.409,0.029062432795621217,0.3773719819860168,0.04498044413567654
ag_news,16,0.3,symmetric,multinomial_nb,5,0.46825,0.029901923015083827,0.45613368128003956,0.035691239983773416
ag_news,16,0.3,symmetric,softmax_logreg,5,0.4335,0.035666861370185085,0.4082842960780068,0.04813870262069926
ag_news,16,0.3,symmetric,trimmed_softmax_logreg,5,0.3775,0.024456594202791188,0.30469589272545644,0.029127076460005407
ag_news,64,0.0,class_conditional,linear_svm_hinge,5,0.68875,0.04010143388957558,0.6759530972432974,0.05069517683061968
ag_news,64,0.0,class_conditional,multinomial_nb,5,0.75925,0.007271519786124486,0.7581554549794329,0.008208973800414698
ag_news,64,0.0,class_conditional,softmax_logreg,5,0.7402499999999999,0.010259142264341575,0.7379188777683858,0.010504574882201974
ag_news,64,0.0,class_conditional,trimmed_softmax_logreg,5,0.69475,0.02749318097274306,0.6882232995767046,0.02906933739954405
ag_news,64,0.0,symmetric,linear_svm_hinge,5,0.68875,0.04010143388957558,0.6759530972432974,0.05069517683061968
ag_news,64,0.0,symmetric,multinomial_nb,5,0.75925,0.007271519786124486,0.7581554549794329,0.008208973800414698
ag_news,64,0.0,symmetric,softmax_logreg,5,0.7402499999999999,0.010259142264341575,0.7379188777683858,0.010504574882201974
ag_news,64,0.0,symmetric,trimmed_softmax_logreg,5,0.69475,0.02749318097274306,0.6882232995767046,0.02906933739954405
ag_news,64,0.05,class_conditional,linear_svm_hinge,5,0.683,0.019915446266654445,0.6721830758736875,0.024926658300349014
ag_news,64,0.05,class_conditional,multinomial_nb,5,0.7474999999999999,0.008100925873009831,0.7459909965480274,0.009215201660063316
ag_news,64,0.05,class_conditional,softmax_logreg,5,0.7252500000000001,0.011219402836158446,0.7210587097521797,0.014028209719291512
ag_news,64,0.05,class_conditional,trimmed_softmax_logreg,5,0.61125,0.04358181960405052,0.5707495156628626,0.0625431965911347
ag_news,64,0.05,symmetric,linear_svm_hinge,5,0.647,0.03128098463923411,0.6306075916298456,0.03683751127124402
ag_news,64,0.05,symmetric,multinomial_nb,5,0.748,0.008162413858657229,0.7468904105859131,0.008452972805967152
ag_news,64,0.05,symmetric,softmax_logreg,5,0.72,0.014832396974191303,0.7158420923963384,0.016426731245199694
ag_news,64,0.05,symmetric,trimmed_softmax_logreg,5,0.61675,0.025206645949034937,0.5886638415617022,0.04079909072267377
