dataset,budget_per_class,noise_rate,noise_type,method,delta_accuracy_vs_clean,delta_macro_f1_vs_clean,macro_f1_slope_per_noise_rate
dbpedia_14,8,0.2,class_conditional,trimmed_softmax_logreg,-0.15792857142857153,-0.17685923695549305,-0.8842961847774652
dbpedia_14,8,0.2,symmetric,linear_svm_hinge,-0.13814285714285723,-0.16815239746353217,-0.8407619873176608
dbpedia_14,8,0.2,symmetric,multinomial_nb,-0.17857142857142871,-0.19494575032959072,-0.9747287516479536
dbpedia_14,8,0.2,symmetric,softmax_logreg,-0.2320000000000002,-0.25830791664417196,-1.2915395832208598
dbpedia_14,8,0.2,symmetric,trimmed_softmax_logreg,-0.16878571428571426,-0.18500433016846385,-0.9250216508423192
dbpedia_14,8,0.3,class_conditional,linear_svm_hinge,-0.14335714285714285,-0.16420466962093283,-0.5473488987364428
dbpedia_14,8,0.3,class_conditional,multinomial_nb,-0.2259285714285716,-0.24668682933261832,-0.8222894311087278
dbpedia_14,8,0.3,class_conditional,softmax_logreg,-0.2737857142857143,-0.3048065556405181,-1.0160218521350604
dbpedia_14,8,0.3,class_conditional,trimmed_softmax_logreg,-0.1988571428571429,-0.21535912122494105,-0.7178637374164702
dbpedia_14,8,0.3,symmetric,linear_svm_hinge,-0.13242857142857145,-0.13251892345301608,-0.44172974484338695
dbpedia_14,8,0.3,symmetric,multinomial_nb,-0.22664285714285726,-0.2524785482482427,-0.8415951608274757
dbpedia_14,8,0.3,symmetric,softmax_logreg,-0.29514285714285715,-0.3265828707879161,-1.0886095692930537
dbpedia_14,8,0.3,symmetric,trimmed_softmax_logreg,-0.20942857142857146,-0.2300427292737084,-0.766809097579028
dbpedia_14,16,0.05,class_conditional,linear_svm_hinge,-0.030928571428571416,-0.03744521193252992,-0.7489042386505984
dbpedia_14,16,0.05,class_conditional,multinomial_nb,-0.027928571428571303,-0.028490277817965315,-0.5698055563593063
dbpedia_14,16,0.05,class_conditional,softmax_logreg,-0.06657142857142861,-0.07221577113673339,-1.4443154227346677
dbpedia_14,16,0.05,class_conditional,trimmed_softmax_logreg,-0.03207142857142864,-0.03208733054925772,-0.6417466109851544
dbpedia_14,16,0.05,symmetric,linear_svm_hinge,0.007499999999999951,0.023005308702608973,0.46010617405217946
dbpedia_14,16,0.05,symmetric,multinomial_nb,-0.013500000000000179,-0.012812010157055576,-0.2562402031411115
dbpedia_14,16,0.05,symmetric,softmax_logreg,-0.039000000000000035,-0.03641634434580343,-0.7283268869160686
dbpedia_14,16,0.05,symmetric,trimmed_softmax_logreg,-0.01007142857142862,0.002716893789032282,0.05433787578064564
dbpedia_14,16,0.1,class_conditional,linear_svm_hinge,-0.06707142857142856,-0.08243021266762862,-0.8243021266762862
dbpedia_14,16,0.1,class_conditional,multinomial_nb,-0.07421428571428568,-0.08025334000276041,-0.8025334000276041
dbpedia_14,16,0.1,class_conditional,softmax_logreg,-0.14714285714285713,-0.16588999497267087,-1.6588999497267087
dbpedia_14,16,0.1,class_conditional,trimmed_softmax_logreg,-0.06992857142857156,-0.0849053221996523,-0.849053221996523
dbpedia_14,16,0.1,symmetric,linear_svm_hinge,-0.06771428571428573,-0.08362466228360521,-0.8362466228360521
dbpedia_14,16,0.1,symmetric,multinomial_nb,-0.04057142857142848,-0.04309341182039106,-0.4309341182039106
dbpedia_14,16,0.1,symmetric,softmax_logreg,-0.08692857142857147,-0.09566851832904377,-0.9566851832904377
dbpedia_14,16,0.1,symmetric,trimmed_softmax_logreg,-0.032357142857143084,-0.035350448429161796,-0.35350448429161796
dbpedia_14,16,0.2,class_conditional,linear_svm_hinge,-0.11149999999999993,-0.12874349085275605,-0.6437174542637802
dbpedia_14,16,0.2,class_conditional,multinomial_nb,-0.13514285714285712,-0.1487592496309459,-0.7437962481547294
dbpedia_14,16,0.2,class_conditional,softmax_logreg,-0.21192857142857136,-0.24425813959113551,-1.2212906979556775
dbpedia_14,16,0.2,class_conditional,trimmed_softmax_logreg,-0.11428571428571432,-0.1442543448848439,-0.7212717244242195
