dataset,budget_per_class,noise_rate,noise_type,method,seed,n_train,n_test,num_classes,actual_noise_fraction,accuracy,macro_f1,runtime_seconds,train_counts,source_kind,method_family,fit_notes
ag_news,8,0.0,symmetric,softmax_logreg,303,32,800,4,0.0,0.51375,0.5144687816076172,0.035637617111206055,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_probabilistic,
ag_news,8,0.0,symmetric,softmax_logreg,404,32,800,4,0.0,0.545,0.5409875604149916,0.038286685943603516,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_probabilistic,
ag_news,8,0.0,symmetric,softmax_logreg,505,32,800,4,0.0,0.46875,0.46458901517263146,0.04806327819824219,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_probabilistic,
ag_news,8,0.0,symmetric,trimmed_softmax_logreg,101,32,800,4,0.0,0.37625,0.324821917426081,0.040135860443115234,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,bounded_robust_variant,kept_fraction=0.8125
ag_news,8,0.0,symmetric,trimmed_softmax_logreg,202,32,800,4,0.0,0.4675,0.4556384559442242,0.041191816329956055,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,bounded_robust_variant,kept_fraction=0.8125
ag_news,8,0.0,symmetric,trimmed_softmax_logreg,303,32,800,4,0.0,0.48,0.4652753599920766,0.04658055305480957,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,bounded_robust_variant,kept_fraction=0.8125
ag_news,8,0.0,symmetric,trimmed_softmax_logreg,404,32,800,4,0.0,0.525,0.5091418702783012,0.03571009635925293,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,bounded_robust_variant,kept_fraction=0.8125
ag_news,8,0.0,symmetric,trimmed_softmax_logreg,505,32,800,4,0.0,0.37875,0.32700686164736187,0.03966045379638672,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,bounded_robust_variant,kept_fraction=0.8125
ag_news,8,0.05,class_conditional,linear_svm_hinge,101,32,800,4,0.03125,0.4025,0.38007875883272346,0.04279518127441406,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,
ag_news,8,0.05,class_conditional,linear_svm_hinge,202,32,800,4,0.0625,0.4675,0.45489411013523007,0.03462052345275879,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,
