dataset,budget_per_class,noise_rate,distilbert_mean_accuracy,distilbert_mean_macro_f1,best_lightweight_method,best_lightweight_macro_f1,delta_macro_f1_vs_best_lightweight,delta_macro_f1_vs_softmax_logreg,delta_macro_f1_vs_trimmed_softmax_logreg
trec_qc,8,0.2,0.2152,0.13436882962259816,softmax_logreg,0.41054143978992175,-0.2761726101673236,-0.2761726101673236,-0.207484268098786
trec_qc,8,0.3,0.1516,0.06264069996826829,softmax_logreg,0.3476676984867376,-0.28502699851846935,-0.28502699851846935,-0.21482968960750734
trec_qc,16,0.0,0.2952,0.25950076693224355,softmax_logreg,0.4854753957947689,-0.22597462886252534,-0.22597462886252534,-0.22078366698055307
trec_qc,16,0.05,0.2972,0.24042113223037748,softmax_logreg,0.46753611861713307,-0.2271149863867556,-0.2271149863867556,-0.21276232061291128
trec_qc,16,0.1,0.19319999999999998,0.1483751847631244,softmax_logreg,0.44863778223549583,-0.30026259747237144,-0.30026259747237144,-0.25831969230563223
trec_qc,16,0.2,0.2052,0.10769328960705767,linear_svm_hinge,0.39039982140452323,-0.2827065317974656,-0.25860147251390414,-0.2347601009783457
trec_qc,16,0.3,0.2528,0.13889997881570773,softmax_logreg,0.3858921924507942,-0.24699221363508647,-0.24699221363508647,-0.18804017548904392
trec_qc,64,0.0,0.7224,0.6627129418904946,trimmed_softmax_logreg,0.6130368388140479,0.049676103076446654,0.09986720244769964,0.049676103076446654
trec_qc,64,0.05,0.7140000000000001,0.6584012161896295,softmax_logreg,0.5534328309418765,0.1049683852477531,0.1049683852477531,0.12064429064829385
trec_qc,64,0.1,0.6856,0.626501450383026,softmax_logreg,0.5403379966926711,0.08616345369035483,0.08616345369035483,0.10173371364863837
trec_qc,64,0.2,0.5660000000000001,0.5163245743788353,softmax_logreg,0.47518412687549344,0.04114044750334184,0.04114044750334184,0.06994595906046969
trec_qc,64,0.3,0.5776,0.5485183524933569,trimmed_softmax_logreg,0.537987678114132,0.010530674379224947,0.032927448739000886,0.010530674379224947
trec_qc,128,0.0,0.8692,0.8338357643171846,trimmed_softmax_logreg,0.6593287876511478,0.17450697666603687,0.17839762133761294,0.17450697666603687
trec_qc,128,0.05,0.8572,0.824188114396323,softmax_logreg,0.6554928341078939,0.16869528028842906,0.16869528028842906,0.18826594899778326
trec_qc,128,0.1,0.8552,0.8258582380994974,softmax_logreg,0.6406477980945379,0.18521044000495956,0.18521044000495956,0.21659074955315016
trec_qc,128,0.2,0.836,0.8098533159110902,softmax_logreg,0.60921287523784,0.20064044067325026,0.20064044067325026,0.21594907152011478
trec_qc,128,0.3,0.7991999999999999,0.7644179231275193,softmax_logreg,0.5990423900813002,0.1653755330462191,0.1653755330462191,0.205701409261152
