dataset,budget_per_class,noise_rate,noise_type,method,mean_macro_f1,delta_macro_f1_vs_clean
ag_news,32,0.3,symmetric,trimmed_softmax_logreg,0.376784,-0.250760
ag_news,64,0.0,class_conditional,linear_svm_hinge,0.675953,0.000000
ag_news,64,0.0,class_conditional,multinomial_nb,0.758155,0.000000
ag_news,64,0.0,class_conditional,softmax_logreg,0.737919,0.000000
ag_news,64,0.0,class_conditional,trimmed_softmax_logreg,0.688223,0.000000
ag_news,64,0.0,symmetric,linear_svm_hinge,0.675953,0.000000
ag_news,64,0.0,symmetric,multinomial_nb,0.758155,0.000000
ag_news,64,0.0,symmetric,softmax_logreg,0.737919,0.000000
ag_news,64,0.0,symmetric,trimmed_softmax_logreg,0.688223,0.000000
ag_news,64,0.05,class_conditional,linear_svm_hinge,0.683872,0.007919
ag_news,64,0.05,class_conditional,multinomial_nb,0.746502,-0.011653
ag_news,64,0.05,class_conditional,softmax_logreg,0.727048,-0.010871
ag_news,64,0.05,class_conditional,trimmed_softmax_logreg,0.592230,-0.095993
ag_news,64,0.05,symmetric,linear_svm_hinge,0.635630,-0.040323
ag_news,64,0.05,symmetric,multinomial_nb,0.744545,-0.013610
ag_news,64,0.05,symmetric,softmax_logreg,0.725676,-0.012243
ag_news,64,0.05,symmetric,trimmed_softmax_logreg,0.555735,-0.132489
ag_news,64,0.1,class_conditional,linear_svm_hinge,0.633029,-0.042924
ag_news,64,0.1,class_conditional,multinomial_nb,0.721859,-0.036296
ag_news,64,0.1,class_conditional,softmax_logreg,0.691270,-0.046649
ag_news,64,0.1,class_conditional,trimmed_softmax_logreg,0.498193,-0.190031
ag_news,64,0.1,symmetric,linear_svm_hinge,0.642102,-0.033851
ag_news,64,0.1,symmetric,multinomial_nb,0.721501,-0.036655
ag_news,64,0.1,symmetric,softmax_logreg,0.684298,-0.053621
ag_news,64,0.1,symmetric,trimmed_softmax_logreg,0.506389,-0.181834
ag_news,64,0.2,class_conditional,linear_svm_hinge,0.551167,-0.124786
ag_news,64,0.2,class_conditional,multinomial_nb,0.683318,-0.074837
ag_news,64,0.2,class_conditional,softmax_logreg,0.626352,-0.111567
ag_news,64,0.2,class_conditional,trimmed_softmax_logreg,0.489553,-0.198670
ag_news,64,0.2,symmetric,linear_svm_hinge,0.534894,-0.141059
ag_news,64,0.2,symmetric,multinomial_nb,0.688486,-0.069669
ag_news,64,0.2,symmetric,softmax_logreg,0.632524,-0.105395
ag_news,64,0.2,symmetric,trimmed_softmax_logreg,0.440016,-0.248207
ag_news,64,0.3,class_conditional,linear_svm_hinge,0.529555,-0.146398
ag_news,64,0.3,class_conditional,multinomial_nb,0.613263,-0.144893
ag_news,64,0.3,class_conditional,softmax_logreg,0.533639,-0.204279
ag_news,64,0.3,class_conditional,trimmed_softmax_logreg,0.362234,-0.325990
ag_news,64,0.3,symmetric,linear_svm_hinge,0.534253,-0.141700
ag_news,64,0.3,symmetric,multinomial_nb,0.641836,-0.116319
ag_news,64,0.3,symmetric,softmax_logreg,0.525682,-0.212237
ag_news,64,0.3,symmetric,trimmed_softmax_logreg,0.384244,-0.303980
ag_news,128,0.0,class_conditional,linear_svm_hinge,0.741737,0.000000
ag_news,128,0.0,class_conditional,multinomial_nb,0.797631,0.000000
ag_news,128,0.0,class_conditional,softmax_logreg,0.775160,0.000000
ag_news,128,0.0,class_conditional,trimmed_softmax_logreg,0.685754,0.000000
ag_news,128,0.0,symmetric,linear_svm_hinge,0.741737,0.000000
ag_news,128,0.0,symmetric,multinomial_nb,0.797631,0.000000
ag_news,128,0.0,symmetric,softmax_logreg,0.775160,0.000000
ag_news,128,0.0,symmetric,trimmed_softmax_logreg,0.685754,0.000000
ag_news,128,0.05,class_conditional,linear_svm_hinge,0.715625,-0.026112
ag_news,128,0.05,class_conditional,multinomial_nb,0.795388,-0.002242
ag_news,128,0.05,class_conditional,softmax_logreg,0.768884,-0.006276
