dataset,budget_per_class,noise_rate,noise_type,method,n_cells,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1
dbpedia_14,8,0.0,symmetric,distilbert_base_uncased,5,0.46699999999999997,0.061418437702337556,0.42375114609064024,0.06494247851624928
dbpedia_14,8,0.05,symmetric,distilbert_base_uncased,5,0.4734999999999999,0.058535441906452476,0.4282863830151228,0.06093901690033825
dbpedia_14,8,0.1,symmetric,distilbert_base_uncased,5,0.3890714285714286,0.04912842396023229,0.34352538498154395,0.05122018250923945
dbpedia_14,8,0.2,symmetric,distilbert_base_uncased,5,0.3650714285714286,0.06160000993903976,0.30242881900480156,0.075736438659817
dbpedia_14,8,0.3,symmetric,distilbert_base_uncased,5,0.3381428571428572,0.008170379553045023,0.28293236630845037,0.01275481610164525
dbpedia_14,16,0.0,symmetric,distilbert_base_uncased,5,0.7785714285714285,0.04109036830386093,0.7609464694805199,0.0491224206563644
dbpedia_14,16,0.05,symmetric,distilbert_base_uncased,5,0.7335714285714285,0.058311706389376196,0.7059047500029386,0.07233563754805719
dbpedia_14,16,0.1,symmetric,distilbert_base_uncased,5,0.7235714285714285,0.04287618624526644,0.6928766317859869,0.046418745668209964
dbpedia_14,16,0.2,symmetric,distilbert_base_uncased,5,0.6444285714285714,0.03555722608037093,0.6072116677319312,0.04232371174179639
dbpedia_14,16,0.3,symmetric,distilbert_base_uncased,5,0.5677142857142856,0.052377456593306185,0.5221869599827327,0.05559884451971089
dbpedia_14,64,0.0,symmetric,distilbert_base_uncased,5,0.9826428571428572,0.0017583619464415796,0.9826576958574529,0.0017498157539184308
dbpedia_14,64,0.05,symmetric,distilbert_base_uncased,5,0.9827142857142859,0.0011866605518453988,0.9827274667555391,0.001180759904955778
dbpedia_14,64,0.1,symmetric,distilbert_base_uncased,5,0.9809285714285714,0.0018154664324484175,0.9809379862822286,0.0017894305512536769
dbpedia_14,64,0.2,symmetric,distilbert_base_uncased,5,0.9813571428571428,0.002340852801167697,0.9813745515446947,0.002331178250132134
dbpedia_14,64,0.3,symmetric,distilbert_base_uncased,5,0.9789285714285715,0.001734993971641584,0.9789204219437039,0.0017117941837480144
dbpedia_14,128,0.0,symmetric,distilbert_base_uncased,5,0.9845714285714285,0.0014178166600913738,0.9845851018654035,0.0014216809330808227
dbpedia_14,128,0.05,symmetric,distilbert_base_uncased,5,0.9830714285714285,0.0021735891506718683,0.9830880247412676,0.002172754497779395
dbpedia_14,128,0.1,symmetric,distilbert_base_uncased,5,0.9841428571428571,0.0019509286119639708,0.9841549404720787,0.0019562246103016832
dbpedia_14,128,0.2,symmetric,distilbert_base_uncased,5,0.9827142857142857,0.0019245990836153331,0.9827414172314357,0.0019239956741759654
dbpedia_14,128,0.3,symmetric,distilbert_base_uncased,5,0.9823571428571428,0.0023968516765089216,0.9823933037866797,0.0023674662045033118
trec_qc,8,0.0,symmetric,distilbert_base_uncased,5,0.2028,0.08104912090824921,0.13965388573526838,0.04650023064285117
trec_qc,8,0.05,symmetric,distilbert_base_uncased,5,0.21280000000000002,0.10470224448406061,0.13166117698554908,0.06972461172653163
trec_qc,8,0.1,symmetric,distilbert_base_uncased,5,0.1648,0.1011501853680951,0.08075916620698988,0.05384763058712804
trec_qc,8,0.2,symmetric,distilbert_base_uncased,5,0.2152,0.12140906061740202,0.13436882962259816,0.06754017113560058
trec_qc,8,0.3,symmetric,distilbert_base_uncased,5,0.1516,0.0824756933890222,0.06264069996826829,0.03411990337890954
trec_qc,16,0.0,symmetric,distilbert_base_uncased,5,0.2952,0.14868274950376725,0.25950076693224355,0.1677041942329529
trec_qc,16,0.05,symmetric,distilbert_base_uncased,5,0.2972,0.10520532305924449,0.24042113223037748,0.10113752993844075
