dataset,budget_per_class,budget_train_total,noise_rate,noise_type,method,seed,n_train,n_test,num_classes,n_corrupt,actual_noise_fraction,accuracy,macro_f1,runtime_seconds,train_counts,source_kind,method_family,fit_notes,mask_sha256,sample_order_sha256
ag_news,8,32,0.0,symmetric,multinomial_nb,101,32,800,4,0,0.0,0.47,0.46694098128876904,0.0004935264587402344,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,4705d4da1d8997ad6a35cc774fb371f333e5e1aa51fcf9c2dece98dc6311c36e
ag_news,8,32,0.0,symmetric,multinomial_nb,202,32,800,4,0,0.0,0.54875,0.5465210898191208,0.0004887580871582031,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,0a33e3249fd80fc726f36d830d5ab61c4a351f8746474b623f04374343daf2d9
ag_news,8,32,0.0,symmetric,multinomial_nb,303,32,800,4,0,0.0,0.51625,0.5201888511949936,0.0005271434783935547,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,0930c861b052f66291544153a1ed33a62a46eff043c7e3eefa565490cf0e7c96
ag_news,8,32,0.0,symmetric,multinomial_nb,404,32,800,4,0,0.0,0.5525,0.54825225906343,0.0005409717559814453,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,f8fcff7c3634d23208f9b47c697ad349acf472c668b2d7a78465ffb4336502c7
ag_news,8,32,0.0,symmetric,multinomial_nb,505,32,800,4,0,0.0,0.5,0.49936981675070885,0.0005834102630615234,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,9c71a644fd5d582f75fd65cf287bfe2e7a1e0c612dd3f767b38577701daec9e9
ag_news,8,32,0.0,symmetric,softmax_logreg,101,32,800,4,0,0.0,0.445,0.44513667170672944,0.010656118392944336,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_probabilistic,,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,4705d4da1d8997ad6a35cc774fb371f333e5e1aa51fcf9c2dece98dc6311c36e
ag_news,8,32,0.0,symmetric,softmax_logreg,202,32,800,4,0,0.0,0.505,0.4998798660634409,0.006278514862060547,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_probabilistic,,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,0a33e3249fd80fc726f36d830d5ab61c4a351f8746474b623f04374343daf2d9
ag_news,8,32,0.0,symmetric,softmax_logreg,303,32,800,4,0,0.0,0.51375,0.5144687816076172,0.006120204925537109,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_probabilistic,,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,0930c861b052f66291544153a1ed33a62a46eff043c7e3eefa565490cf0e7c96
ag_news,8,32,0.0,symmetric,softmax_logreg,404,32,800,4,0,0.0,0.545,0.5409875604149916,0.0059413909912109375,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_probabilistic,,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,f8fcff7c3634d23208f9b47c697ad349acf472c668b2d7a78465ffb4336502c7
ag_news,8,32,0.0,symmetric,softmax_logreg,505,32,800,4,0,0.0,0.46875,0.46458901517263146,0.006556272506713867,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_probabilistic,,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,9c71a644fd5d582f75fd65cf287bfe2e7a1e0c612dd3f767b38577701daec9e9
ag_news,8,32,0.0,symmetric,trimmed_softmax_logreg,101,32,800,4,0,0.0,0.37625,0.324821917426081,0.008569478988647461,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,bounded_robust_variant,kept_fraction=0.8125,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,4705d4da1d8997ad6a35cc774fb371f333e5e1aa51fcf9c2dece98dc6311c36e
ag_news,8,32,0.0,symmetric,trimmed_softmax_logreg,202,32,800,4,0,0.0,0.4675,0.4556384559442242,0.008564233779907227,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,bounded_robust_variant,kept_fraction=0.8125,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,0a33e3249fd80fc726f36d830d5ab61c4a351f8746474b623f04374343daf2d9
ag_news,8,32,0.0,symmetric,trimmed_softmax_logreg,303,32,800,4,0,0.0,0.48,0.4652753599920766,0.009319543838500977,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,bounded_robust_variant,kept_fraction=0.8125,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,0930c861b052f66291544153a1ed33a62a46eff043c7e3eefa565490cf0e7c96
ag_news,8,32,0.0,symmetric,trimmed_softmax_logreg,404,32,800,4,0,0.0,0.525,0.5091418702783012,0.008089303970336914,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,bounded_robust_variant,kept_fraction=0.8125,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,f8fcff7c3634d23208f9b47c697ad349acf472c668b2d7a78465ffb4336502c7
ag_news,8,32,0.0,symmetric,trimmed_softmax_logreg,505,32,800,4,0,0.0,0.37875,0.32700686164736187,0.008825302124023438,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,bounded_robust_variant,kept_fraction=0.8125,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,9c71a644fd5d582f75fd65cf287bfe2e7a1e0c612dd3f767b38577701daec9e9
ag_news,8,32,0.05,class_conditional,linear_svm_hinge,101,32,800,4,2,0.0625,0.38375,0.33620252282103225,0.006991386413574219,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,,71ae50dad8bb499e81962f1f48bb6c834197660af84c98d3a44ead9705d433f5,4705d4da1d8997ad6a35cc774fb371f333e5e1aa51fcf9c2dece98dc6311c36e
ag_news,8,32,0.05,class_conditional,linear_svm_hinge,202,32,800,4,2,0.0625,0.48375,0.47597613467000344,0.007166385650634766,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,,2606c097a9fb8c08a11e4f4882012028f5b9c89d03518519335e7fe24530726a,0a33e3249fd80fc726f36d830d5ab61c4a351f8746474b623f04374343daf2d9
ag_news,8,32,0.05,class_conditional,linear_svm_hinge,303,32,800,4,2,0.0625,0.46,0.43521374648961353,0.007238149642944336,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,,0a05c6ad9098283a1edca1328f00533c0be05d624458ec2a7f9a4a590cf1807a,0930c861b052f66291544153a1ed33a62a46eff043c7e3eefa565490cf0e7c96
ag_news,8,32,0.05,class_conditional,linear_svm_hinge,404,32,800,4,2,0.0625,0.5425,0.5307614914418892,0.006926536560058594,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,,c134b0ab94435b1d9a0d753cf6bd65135701ebf2ad96f864199ff219c57b5ae3,f8fcff7c3634d23208f9b47c697ad349acf472c668b2d7a78465ffb4336502c7
ag_news,8,32,0.05,class_conditional,linear_svm_hinge,505,32,800,4,2,0.0625,0.39875,0.3642772358400559,0.0075604915618896484,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,,70dc1848fc32f3be7ecc80c5d158056ede3eeb95375570cc21c7c59044c2862e,9c71a644fd5d582f75fd65cf287bfe2e7a1e0c612dd3f767b38577701daec9e9
ag_news,8,32,0.05,class_conditional,multinomial_nb,101,32,800,4,2,0.0625,0.43875,0.42445365174052174,0.0004787445068359375,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,,71ae50dad8bb499e81962f1f48bb6c834197660af84c98d3a44ead9705d433f5,4705d4da1d8997ad6a35cc774fb371f333e5e1aa51fcf9c2dece98dc6311c36e
ag_news,8,32,0.05,class_conditional,multinomial_nb,202,32,800,4,2,0.0625,0.53,0.5269929115527591,0.0006034374237060547,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,,2606c097a9fb8c08a11e4f4882012028f5b9c89d03518519335e7fe24530726a,0a33e3249fd80fc726f36d830d5ab61c4a351f8746474b623f04374343daf2d9
ag_news,8,32,0.05,class_conditional,multinomial_nb,303,32,800,4,2,0.0625,0.50875,0.5063691709976671,0.0004703998565673828,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,,0a05c6ad9098283a1edca1328f00533c0be05d624458ec2a7f9a4a590cf1807a,0930c861b052f66291544153a1ed33a62a46eff043c7e3eefa565490cf0e7c96
ag_news,8,32,0.05,class_conditional,multinomial_nb,404,32,800,4,2,0.0625,0.52625,0.5189327698973842,0.0004799365997314453,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,,c134b0ab94435b1d9a0d753cf6bd65135701ebf2ad96f864199ff219c57b5ae3,f8fcff7c3634d23208f9b47c697ad349acf472c668b2d7a78465ffb4336502c7
ag_news,8,32,0.05,class_conditional,multinomial_nb,505,32,800,4,2,0.0625,0.465,0.4584714050552991,0.0005362033843994141,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,,70dc1848fc32f3be7ecc80c5d158056ede3eeb95375570cc21c7c59044c2862e,9c71a644fd5d582f75fd65cf287bfe2e7a1e0c612dd3f767b38577701daec9e9
ag_news,8,32,0.05,class_conditional,softmax_logreg,101,32,800,4,2,0.0625,0.39875,0.3694409858380005,0.006312847137451172,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_probabilistic,,71ae50dad8bb499e81962f1f48bb6c834197660af84c98d3a44ead9705d433f5,4705d4da1d8997ad6a35cc774fb371f333e5e1aa51fcf9c2dece98dc6311c36e
ag_news,8,32,0.05,class_conditional,softmax_logreg,202,32,800,4,2,0.0625,0.48875,0.4819386648934051,0.006491422653198242,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_probabilistic,,2606c097a9fb8c08a11e4f4882012028f5b9c89d03518519335e7fe24530726a,0a33e3249fd80fc726f36d830d5ab61c4a351f8746474b623f04374343daf2d9
ag_news,8,32,0.05,class_conditional,softmax_logreg,303,32,800,4,2,0.0625,0.48875,0.47919699399337135,0.006346225738525391,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_probabilistic,,0a05c6ad9098283a1edca1328f00533c0be05d624458ec2a7f9a4a590cf1807a,0930c861b052f66291544153a1ed33a62a46eff043c7e3eefa565490cf0e7c96
